method,task,record_type,selection,cycle,iter,accuracy,final_accuracy,final_cycle,final_iter,peak_accuracy,peak_cycle,peak_iter,peak_minus_final,cand_par,cand_start_cycle,cand_tau,cand_weight,kl_mode,kl_candidate,calib_mode,calib_power,calib_auto_lambda,topo_graph_k,topo_alpha,topo_steps,topo_anchor_ratio,topo_target_mix,graph_teacher_fusion,gtf_apply_to,gtf_strength,gtr_par,gtr_stable_cycles,gtr_memory,gtr_min_graph_conf,gtr_min_disagreement,temporal_diag,pl_expand,pl_topk_per_class,pl_min_conf,pl_memory,pl_stable_cycles,pl_stable_memory,pl_memory_warmup_cycles,pl_memory_min_conf,pl_class_balance,pl_balance_coverage,pl_balance_min_per_class,proto_adapt,proto_mix,proto_temperature,proto_min_per_class,proto_momentum,target_head_adapt,target_head_variant,target_head_mix,target_head_start_cycle,target_head_lr_mult,target_head_ema,target_head_ema_momentum,target_residual_max_gate,target_residual_gate_init,residual_gate_final,trajectory_ensemble,trajectory_snapshot_intervals,pair_flow_rank,pair_flow_min_count,pair_flow_min_cycles,pair_flow_max_gate,pair_flow_gate_init,pair_flow_gate_final,pair_flow_active_rank,pair_feature_adapt,pair_feature_start_cycle,pair_feature_lr_mult,pair_feature_min_active_rank,pair_feature_gradient_mode,pair_feature_max_gate,pair_feature_gate_init,pair_feature_gate_final,pair_feature_router_norm,pair_feature_effective,pair_feature_gtr_active,pair_feature_gtr_loss,pair_feature_gtr_batches,cov_transport_adapt,cov_transport_start_cycle,cov_transport_min_anchors,cov_transport_rank,cov_transport_max_gate,cov_transport_active_classes,cov_transport_coverage,cov_transport_mean_shift,tau_low,promote_k,accd_enabled,accd_graph_k,accd_anchor_ratio,accd_anchor_memory,accd_candidate_mass,accd_candidate_margin,accd_stable_cycles,accd_resolution_memory,accd_resolution_target,accd_resolution_action,log
temporal_precision_head_seed2022_pair_feature_gtr_preflight,AC,standard,peak,4/4,207/276,73.61,73.36,4/4,276/276,73.61,4/4,207/276,0.25,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,12,True,1,1.0,1,gtr_only,0.05,-2.0,0.005962,0.035880,True,151,0.326125,62,False,1,8,4,0.05,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/AC/temporal_precision_head_seed2022_pair_feature_gtr_preflight/temporal_precision_head_pair_feature_gtr_260719_133503.txt
temporal_precision_head_seed2022_pair_feature_gtr_preflight,PA,standard,peak,4/4,76/152,82.53,82.53,4/4,152/152,82.53,4/4,76/152,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,2,True,1,1.0,1,gtr_only,0.05,-2.0,0.005961,0.015814,True,67,0.293416,33,False,1,8,4,0.05,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PA/temporal_precision_head_seed2022_pair_feature_gtr_preflight/temporal_precision_head_pair_feature_gtr_260719_133937.txt
temporal_precision_head_seed2022_pair_feature_gtr_preflight,RA,standard,peak,4/4,38/152,82.94,82.74,4/4,152/152,82.94,4/4,38/152,0.20,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,1,True,1,1.0,1,gtr_only,0.05,-2.0,0.005960,0.003765,True,63,0.294414,33,False,1,8,4,0.05,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RA/temporal_precision_head_seed2022_pair_feature_gtr_preflight/temporal_precision_head_pair_feature_gtr_260719_134341.txt
