method,task,selection,cycle,iter,accuracy,final_accuracy,final_cycle,final_iter,peak_accuracy,peak_cycle,peak_iter,peak_minus_final,cand_par,cand_start_cycle,cand_tau,cand_weight,kl_mode,kl_candidate,calib_mode,calib_power,calib_auto_lambda,topo_graph_k,topo_alpha,topo_steps,topo_anchor_ratio,topo_target_mix,graph_teacher_fusion,gtf_apply_to,gtf_strength,gtr_par,gtr_stable_cycles,gtr_memory,gtr_min_graph_conf,gtr_min_disagreement,temporal_diag,pl_expand,pl_topk_per_class,pl_min_conf,pl_memory,pl_stable_cycles,pl_stable_memory,pl_memory_warmup_cycles,pl_memory_min_conf,pl_class_balance,pl_balance_coverage,pl_balance_min_per_class,proto_adapt,proto_mix,proto_temperature,proto_min_per_class,proto_momentum,target_head_adapt,target_head_variant,target_head_mix,target_head_start_cycle,target_head_lr_mult,target_head_ema,target_head_ema_momentum,target_residual_max_gate,target_residual_gate_init,residual_gate_final,tau_low,promote_k,accd_enabled,accd_graph_k,accd_anchor_ratio,accd_anchor_memory,accd_candidate_mass,accd_candidate_margin,accd_stable_cycles,accd_resolution_memory,accd_resolution_target,accd_resolution_action,log
temporal_precision_head_seed2021,CA,peak,4/4,152/152,84.10,84.10,4/4,152/152,84.10,4/4,152/152,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CA/temporal_precision_head_seed2021/temporal_precision_head_260718_182823.txt
temporal_precision_head_seed2022,CA,peak,4/4,114/152,83.64,83.44,4/4,152/152,83.64,4/4,114/152,0.20,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CA/temporal_precision_head_seed2022/temporal_precision_head_260718_195505.txt
temporal_precision_head_seed2020,CP,peak,4/4,280/280,91.17,91.17,4/4,280/280,91.17,4/4,280/280,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CP/temporal_precision_head_seed2020/temporal_precision_head_260718_170610.txt
temporal_precision_head_seed2021,CP,peak,4/4,280/280,91.15,91.15,4/4,280/280,91.15,4/4,280/280,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CP/temporal_precision_head_seed2021/temporal_precision_head_260718_183227.txt
temporal_precision_head_seed2022,CP,peak,4/4,280/280,91.19,91.19,4/4,280/280,91.19,4/4,280/280,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CP/temporal_precision_head_seed2022/temporal_precision_head_260718_195909.txt
temporal_precision_head_seed2020,CR,peak,4/4,207/276,90.73,90.68,4/4,276/276,90.73,4/4,207/276,0.05,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CR/temporal_precision_head_seed2020/temporal_precision_head_260718_171046.txt
temporal_precision_head_seed2021,CR,peak,4/4,276/276,90.57,90.57,4/4,276/276,90.57,4/4,276/276,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CR/temporal_precision_head_seed2021/temporal_precision_head_260718_183704.txt
temporal_precision_head_seed2022,CR,peak,4/4,69/276,90.77,90.41,4/4,276/276,90.77,4/4,69/276,0.36,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CR/temporal_precision_head_seed2022/temporal_precision_head_260718_200347.txt
temporal_precision_head_seed2020,PA,peak,4/4,114/152,83.44,83.27,4/4,152/152,83.44,4/4,114/152,0.17,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PA/temporal_precision_head_seed2020/temporal_precision_head_260718_172640.txt
temporal_precision_head_seed2021,PA,peak,4/4,152/152,83.31,83.31,4/4,152/152,83.31,4/4,152/152,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PA/temporal_precision_head_seed2021/temporal_precision_head_260718_185229.txt
temporal_precision_head_seed2022,PA,peak,4/4,114/152,82.86,82.65,4/4,152/152,82.86,4/4,114/152,0.21,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PA/temporal_precision_head_seed2022/temporal_precision_head_260718_201903.txt
temporal_precision_head_seed2020,PC,peak,4/4,207/276,73.47,73.33,4/4,276/276,73.47,4/4,207/276,0.14,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PC/temporal_precision_head_seed2020/temporal_precision_head_260718_173044.txt
temporal_precision_head_seed2021,PC,peak,4/4,276/276,73.47,73.47,4/4,276/276,73.47,4/4,276/276,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PC/temporal_precision_head_seed2021/temporal_precision_head_260718_185634.txt
temporal_precision_head_seed2022,PC,peak,4/4,276/276,73.33,73.33,4/4,276/276,73.33,4/4,276/276,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PC/temporal_precision_head_seed2022/temporal_precision_head_260718_202306.txt
temporal_precision_head_seed2020,PR,peak,4/4,276/276,91.21,91.21,4/4,276/276,91.21,4/4,276/276,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PR/temporal_precision_head_seed2020/temporal_precision_head_260718_173510.txt
temporal_precision_head_seed2021,PR,peak,4/4,138/276,90.57,90.54,4/4,276/276,90.57,4/4,138/276,0.03,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PR/temporal_precision_head_seed2021/temporal_precision_head_260718_190059.txt
temporal_precision_head_seed2022,PR,peak,4/4,207/276,90.73,90.54,4/4,276/276,90.73,4/4,207/276,0.19,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PR/temporal_precision_head_seed2022/temporal_precision_head_260718_202738.txt
temporal_precision_head_seed2020,RA,peak,4/4,114/152,83.56,83.52,4/4,152/152,83.56,4/4,114/152,0.04,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RA/temporal_precision_head_seed2020/temporal_precision_head_260718_175049.txt
temporal_precision_head_seed2021,RA,peak,4/4,114/152,83.52,83.48,4/4,152/152,83.52,4/4,114/152,0.04,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RA/temporal_precision_head_seed2021/temporal_precision_head_260718_191658.txt
temporal_precision_head_seed2022,RA,peak,4/4,114/152,83.52,83.27,4/4,152/152,83.52,4/4,114/152,0.25,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RA/temporal_precision_head_seed2022/temporal_precision_head_260718_204308.txt
temporal_precision_head_seed2020,RC,peak,4/4,207/276,74.20,73.97,4/4,276/276,74.20,4/4,207/276,0.23,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RC/temporal_precision_head_seed2020/temporal_precision_head_260718_175457.txt
temporal_precision_head_seed2021,RC,peak,4/4,207/276,73.88,73.86,4/4,276/276,73.88,4/4,207/276,0.02,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RC/temporal_precision_head_seed2021/temporal_precision_head_260718_192106.txt
temporal_precision_head_seed2022,RC,peak,4/4,138/276,73.56,73.54,4/4,276/276,73.56,4/4,138/276,0.02,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RC/temporal_precision_head_seed2022/temporal_precision_head_260718_204717.txt
temporal_precision_head_seed2020,RP,peak,4/4,210/280,91.26,91.10,4/4,280/280,91.26,4/4,210/280,0.16,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RP/temporal_precision_head_seed2020/temporal_precision_head_260718_175923.txt
temporal_precision_head_seed2021,RP,peak,4/4,140/280,91.03,91.03,4/4,280/280,91.03,4/4,140/280,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RP/temporal_precision_head_seed2021/temporal_precision_head_260718_192534.txt
temporal_precision_head_seed2022,RP,peak,4/4,140/280,91.44,91.33,4/4,280/280,91.44,4/4,140/280,0.11,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,,0.3,1,1.0,,,,,,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RP/temporal_precision_head_seed2022/temporal_precision_head_260718_205145.txt
