method,task,cycle,iter,accuracy,cand_par,cand_start_cycle,cand_tau,cand_weight,kl_mode,kl_candidate,calib_mode,calib_power,calib_auto_lambda,topo_graph_k,topo_alpha,topo_steps,topo_anchor_ratio,topo_target_mix,graph_teacher_fusion,gtf_apply_to,gtf_strength,gtr_par,gtr_stable_cycles,gtr_memory,gtr_min_graph_conf,gtr_min_disagreement,temporal_diag,pl_expand,pl_topk_per_class,pl_min_conf,pl_memory,pl_stable_cycles,pl_stable_memory,pl_memory_warmup_cycles,pl_memory_min_conf,proto_adapt,proto_mix,proto_temperature,proto_min_per_class,proto_momentum,tau_low,promote_k,accd_enabled,accd_graph_k,accd_anchor_ratio,accd_anchor_memory,accd_candidate_mass,accd_candidate_margin,accd_stable_cycles,accd_resolution_memory,accd_resolution_target,accd_resolution_action,log
temporal_precision_proto,AC,4/4,276/276,73.06,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,True,0.15,0.2,3,0.0,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/AC/temporal_precision_proto/temporal_precision_proto_260718_130022.txt
temporal_precision_proto,PC,4/4,276/276,72.90,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,True,0.15,0.2,3,0.0,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PC/temporal_precision_proto/temporal_precision_proto_260718_130453.txt
temporal_precision_proto,RC,4/4,276/276,73.47,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,True,0.15,0.2,3,0.0,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RC/temporal_precision_proto/temporal_precision_proto_260718_130921.txt
